id,depart_date_time,seats,free_seats,user_id,handle_fee_rate,handle_fee_ceiling_factor,handle_fee_maximum,accept_cash,accept_online_payment,quick_booking,flex_booking,price,car_id,currency_id,distance,detour_preference,duration,chat,kids,music,animals,comfort,smoking,id_arr,latitude_arr,longitude_arr,name_arr,id_dep,latitude_dep,longitude_dep,name_dep,time,date,date_weekday,Denmark,SJ_dep,SJ_arr,betalingsvej,betalingsvej_dummy
7385002,2018-08-07T15:30:00+02:00,2,0,269889,12.5,100,,False,True,True,True,18500,402425.0,1,271775.0,5_minutes,9644,0,1,1,1,0,0,25834238,56.0251671,9.8968571,Smukfest,25834237,55.673514,12.465726,Rødovre,15:30:00,2018-08-07,1,True,True,False,1,1
7385006,2018-08-07T14:00:00+02:00,3,3,1399528,12.5,100,,False,True,True,True,18000,,1,343083.0,flexible,14325,0,0,0,0,1,0,25829883,55.6760968,12.568337199999998,København,25829881,56.460584,10.036539,Randers,14:00:00,2018-08-07,1,True,False,True,1,1
7385007,2018-08-09T08:30:00+02:00,1,0,1438456,12.5,100,,False,True,True,True,15000,279463.0,1,268189.0,5_minutes,9520,0,0,0,0,0,0,25829865,55.844405,9.237394,Give,25829864,55.657333,12.5381179,Enghavevej 168,08:30:00,2018-08-09,3,True,True,False,1,1
7385010,2018-08-07T06:45:00+02:00,3,3,906186,12.5,100,,False,True,True,True,3500,276060.0,1,73159.0,5_minutes,4104,0,1,1,0,1,0,25829874,56.95916800000001,8.7034921,Thisted,25829871,56.48493000000001,8.589933,Struer,06:45:00,2018-08-07,1,True,False,False,0,0
7385011,2018-08-10T16:15:00+02:00,2,1,2318925,12.5,100,,False,True,False,True,5500,401415.0,1,74306.0,5_minutes,3502,0,1,1,0,1,0,25829876,55.7134411,9.5282372,Nyboesgade,25829875,56.188259,10.184892800000002,Olof Palmes Allé,16:15:00,2018-08-10,4,True,False,False,0,0
7385035,2018-08-06T20:30:00+02:00,3,3,734681,12.5,100,,False,True,True,True,8000,246957.0,1,172158.0,flexible,6233,0,1,1,1,1,0,25830001,56.0906735,9.7665915,Ry,25830000,57.270904,9.945168,Brønderslev,20:30:00,2018-08-06,0,True,False,False,0,0
7385039,2018-08-06T19:45:00+02:00,3,3,2068395,12.5,100,,False,True,True,True,8000,,1,66984.0,15_minutes,3436,0,1,1,1,0,1,25830007,56.1998772,10.1660237,Aarhus N,25830006,56.452027,9.3963471,Viborg,19:45:00,2018-08-06,0,True,False,False,0,0
7385040,2018-08-07T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830009,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830008,55.042655,11.9640331,Ørslev,09:15:00,2018-08-07,1,True,True,True,2,0
7385041,2018-08-08T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830011,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830010,55.042655,11.9640331,Ørslev,09:15:00,2018-08-08,2,True,True,True,2,0
7385042,2018-08-09T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830013,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830012,55.042655,11.9640331,Ørslev,09:15:00,2018-08-09,3,True,True,True,2,0
7385043,2018-08-10T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830015,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830014,55.042655,11.9640331,Ørslev,09:15:00,2018-08-10,4,True,True,True,2,0
7385044,2018-08-13T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830017,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830016,55.042655,11.9640331,Ørslev,09:15:00,2018-08-13,0,True,True,True,2,0
7385045,2018-08-14T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830019,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830018,55.042655,11.9640331,Ørslev,09:15:00,2018-08-14,1,True,True,True,2,0
7385046,2018-08-15T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830021,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830020,55.042655,11.9640331,Ørslev,09:15:00,2018-08-15,2,True,True,True,2,0
7385047,2018-08-16T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830023,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830022,55.042655,11.9640331,Ørslev,09:15:00,2018-08-16,3,True,True,True,2,0
7385048,2018-08-17T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830025,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830024,55.042655,11.9640331,Ørslev,09:15:00,2018-08-17,4,True,True,True,2,0
7385049,2018-08-20T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,10500,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,26028493,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",26028492,55.042655,11.9640331,Ørslev,09:15:00,2018-08-20,0,True,True,True,2,0
7385050,2018-08-21T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830029,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830028,55.042655,11.9640331,Ørslev,09:15:00,2018-08-21,1,True,True,True,2,0
7385051,2018-08-22T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830031,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830030,55.042655,11.9640331,Ørslev,09:15:00,2018-08-22,2,True,True,True,2,0
7385052,2018-08-23T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830033,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830032,55.042655,11.9640331,Ørslev,09:15:00,2018-08-23,3,True,True,True,2,0
7385053,2018-08-24T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830035,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830034,55.042655,11.9640331,Ørslev,09:15:00,2018-08-24,4,True,True,True,2,0
7385054,2018-09-03T09:15:00+02:00,3,3,2115457,12.5,100,,False,True,False,True,5000,357252.0,1,94245.0,5_minutes,3742,0,0,0,0,0,0,25830037,55.6631343,12.5605503,"Fisketorvet, Dybbølsbro (Kalvebod Brygge)",25830036,55.042655,11.9640331,Ørslev,09:15:00,2018-09-03,0,True,True,True,2,0
